attribute,Llama
subject_id,Patient.identifier;Patient.active;Patient.name
hadm_id,Encounter.identifier;Encounter.status;Encounter.class
admittime,Encounter.actualPeriod;Encounter.plannedStartDate;Encounter.length
dischtime,Encounter.actualPeriod;Encounter.plannedEndDate;Encounter.length
admission_type,Encounter.type;Encounter.serviceType;Encounter.priority
admission_location,Encounter.admission.origin;Encounter.location.location;Encounter.partOf
discharge_location,Encounter.admission.destination;Encounter.location.location;Encounter.partOf
status,MedicationRequest.status;MedicationRequest.statusReason;MedicationRequest.intent
charttime,Observation.effectiveDateTime;Observation.issued;Observation.valueDateTime
stoptime,MedicationRequest.dispenseRequest.expectedSupplyDuration;MedicationRequest.dispenseRequest.validityPeriod;MedicationRequest.dispenseRequest.numberOfRepeatsAllowed
stay_id,Encounter.identifier;Encounter.status;Encounter.class
chartdate,Observation.effectiveDateTime;Observation.issued;Observation.valueDateTime
first_careunit,Encounter.location.location;Encounter.participant.actor;Encounter.participant.type
statusdescription,Procedure.status;Procedure.statusReason;Procedure.code
starttime,Procedure.performedPeriod;Procedure.performedDateTime;Procedure.instantiatesCanonical
careunit,Encounter.location.location;Encounter.participant.actor;Encounter.participant.type
intime,Encounter.actualPeriod;Encounter.plannedStartDate;Encounter.length
curr_service,Encounter.serviceProvider;Encounter.serviceType;Encounter.type
outtime,Encounter.actualPeriod;Encounter.plannedEndDate;Encounter.length
dod,Patient.deceasedDateTime;Patient.deceasedBoolean;Patient.deathDate
anchor_age,Patient.extension;Patient.birthDate;Patient.age
endtime,Procedure.performedPeriod;Procedure.performedDateTime;Procedure.instantiatesCanonical
language,Patient.communication.language;Patient.maritalStatus;Patient.extension
lownormalvalue,Observation.referenceRange.low;Observation.referenceRange.high
value,Observation.value
valueuom,Observation.value
label,Observation.code
amountuom,MedicationAdministration.dosage.rate
highnormalvalue,Observation.referenceRange.high
itemid,Observation.identifier
location,Observation.bodySite
ordercategorydescription,MedicationRequest.category;MedicationRequest.intent;MedicationRequest.priority
emar_id,MedicationRequest.identifier;MedicationRequest.basedOn;MedicationRequest.partOf
dose_val_rx,MedicationRequest.dosageInstruction.doseAndRate.doseQuantity;MedicationRequest.dosageInstruction.doseAndRate.rateRatio;MedicationRequest.dispenseRequest.quantity
dose_unit_rx,MedicationRequest.dosageInstruction.doseAndRate.doseQuantity.unit;MedicationRequest.dosageInstruction.doseAndRate.rateRatio.unit;MedicationRequest.dispenseRequest.quantity.unit
storetime,MedicationAdministration.eventHistory;MedicationRequest.eventHistory;MedicationDispense.eventHistory
amount,MedicationRequest.dispenseRequest.quantity;MedicationRequest.dispenseRequest.expectedSupplyDuration;MedicationDispense.quantity
one_hr_max,MedicationRequest.dosageInstruction.maxDosePerPeriod;MedicationRequest.dosageInstruction.maxDosePerAdministration;MedicationRequest.dispenseRequest.maxDosePerPeriod
frequency,MedicationRequest.dosageInstruction.timing.repeat.frequency;MedicationRequest.dosageInstruction.timing.repeat.period;MedicationRequest.dosageInstruction.timing.repeat.periodUnit
fill_quantity,MedicationRequest.dispenseRequest.quantity;MedicationRequest.dispenseRequest.expectedSupplyDuration;MedicationDispense.quantity
medication,MedicationRequest.medication;MedicationDispense.medication;MedicationAdministration.medication
pharmacy_id,MedicationRequest.identifier;MedicationDispense.identifier;MedicationAdministration.identifier
prod_strength,MedicationRequest.medication.strength;MedicationDispense.medication.strength;MedicationAdministration.medication.strength
event_txt,MedicationAdministration.eventHistory;MedicationRequest.eventHistory;MedicationDispense.eventHistory
rate,MedicationRequest.dosageInstruction.doseAndRate.rateRatio;MedicationRequest.dosageInstruction.doseAndRate.rateQuantity;MedicationAdministration.dosage.rateRatio
rateuom,MedicationRequest.dosageInstruction.doseAndRate.rateRatio.unit;MedicationRequest.dosageInstruction.doseAndRate.rateQuantity.unit;MedicationAdministration.dosage.rateRatio.unit
entertime,MedicationRequest.authoredOn;MedicationRequest.requester;MedicationRequest.recorder
duration,MedicationRequest.dispenseRequest.expectedSupplyDuration;MedicationRequest.dispenseRequest.quantity;MedicationDispense.daysSupply
route,MedicationRequest.dosageInstruction.route;MedicationAdministration.dosage.route;MedicationDispense.dosageInstruction.route
ordercategoryname,MedicationRequest.category;MedicationRequest.intent;MedicationRequest.priority
org_name,Observation.code;Observation.value;Observation.component.code
test_name,Observation.code;Observation.value;Observation.component.code
ab_itemid,Observation.identifier;Observation.component.code;Observation.component.value
ab_name,Observation.code;Observation.value;Observation.component.code
category,Observation.category;Observation.code;Observation.component.code
spec_type_desc,Observation.specimen;Observation.bodySite;Observation.component.code
org_itemid,Observation.identifier;Observation.component.code;Observation.component.value
dilution_value,Observation.value;Observation.component.value;Observation.referenceRange.low
interpretation,Observation.interpretation;Observation.component.interpretation;Observation.value
spec_itemid,Observation.specimen;Observation.identifier;Observation.component.code
